DensePolyNN:
experiment,accuracy,nr_linear_layers,learning_rate,beta1,beta2,epsilon,weight_decay
28,0.1,13,0.003420284327901214,0.9698648118895027,0.9857885656252428,2.6076249888961804e-08,0.06858069295158738
28,0.1,13,0.003420284327901214,0.9698648118895027,0.9857885656252428,2.6076249888961804e-08,0.06858069295158738
28,0.1,13,0.003420284327901214,0.9698648118895027,0.9857885656252428,2.6076249888961804e-08,0.06858069295158738
29,0.1,11,0.0024870749869486414,0.4000019018597696,0.9699095339842131,3.3613280350390033e-09,0.018599251611135747
29,0.1,11,0.0024870749869486414,0.4000019018597696,0.9699095339842131,3.3613280350390033e-09,0.018599251611135747
29,0.1,11,0.0024870749869486414,0.4000019018597696,0.9699095339842131,3.3613280350390033e-09,0.018599251611135747
30,0.1,9,0.0006540551868682796,0.4030310100943365,0.9299558802191175,5.672193222916247e-08,0.034148528096527554
30,0.3365,9,0.0006540551868682796,0.4030310100943365,0.9299558802191175,5.672193222916247e-08,0.034148528096527554
30,0.1,9,0.0006540551868682796,0.4030310100943365,0.9299558802191175,5.672193222916247e-08,0.034148528096527554
31,0.1,10,0.004355000254779744,0.9930300966303329,0.9965264648911949,6.957365654903504e-08,0.08701311057452094
31,0.1,10,0.004355000254779744,0.9930300966303329,0.9965264648911949,6.957365654903504e-08,0.08701311057452094
31,0.1,10,0.004355000254779744,0.9930300966303329,0.9965264648911949,6.957365654903504e-08,0.08701311057452094
32,0.1,14,0.0004287264403891423,0.417048032034367,0.9058495364349523,6.473992469175371e-08,0.06698788574836188
32,0.1,14,0.0004287264403891423,0.417048032034367,0.9058495364349523,6.473992469175371e-08,0.06698788574836188
32,0.1,14,0.0004287264403891423,0.417048032034367,0.9058495364349523,6.473992469175371e-08,0.06698788574836188
33,0.1,12,0.0037159673245336384,0.4019612985655666,0.9079101228308444,2.137714984136899e-08,0.04392755098375292
33,0.1,12,0.0037159673245336384,0.4019612985655666,0.9079101228308444,2.137714984136899e-08,0.04392755098375292
33,0.1,12,0.0037159673245336384,0.4019612985655666,0.9079101228308444,2.137714984136899e-08,0.04392755098375292
34,0.8027,4,0.0006803829052347155,0.5335734275774462,0.9956430638430411,5.824165770117185e-08,0.003924675276599387
34,0.8005,4,0.0006803829052347155,0.5335734275774462,0.9956430638430411,5.824165770117185e-08,0.003924675276599387
34,0.805,4,0.0006803829052347155,0.5335734275774462,0.9956430638430411,5.824165770117185e-08,0.003924675276599387
35,0.1,6,0.002807626638265235,0.9872336710038471,0.9882573251226292,8.523510861629576e-08,0.08930740253637055
35,0.1,6,0.002807626638265235,0.9872336710038471,0.9882573251226292,8.523510861629576e-08,0.08930740253637055
35,0.1,6,0.002807626638265235,0.9872336710038471,0.9882573251226292,8.523510861629576e-08,0.08930740253637055
36,0.8206,6,0.0022625331348015984,0.8941549776762866,0.9648525626676433,7.304489162285948e-08,0.0009103020992812794
