nr,lr,b1,b2,epsilon,weight_decay,energy,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
36,0.080002,0.1,0.96,1.00E-09,0,1629.063339,0.101225,0.3689
37,0.040006,0.82,0.8,2.08E-08,0.02,1654.061213,0.18655,0.3689
38,0.060004,0.82,0.96,4.06E-08,0.06,1654.097245,0.1499125,0.3689
39,0.060004,0.82,0.92,8.02E-08,0.06,1653.212565,0.1413,0.3689
40,0.040006,0.1,0.92,8.02E-08,0.04,1649.684922,0.1020375,0.3689
41,1.00E-05,0.46,0.84,2.08E-08,0.02,1667.738848,0.3705125,0.3705125
42,0.020008,0.28,0.8,8.02E-08,0.08,1659.639811,0.1320625,0.3705125
43,0.020008,0.46,0.84,4.06E-08,0,1639.239434,0.10435,0.3705125
44,0.040006,0.1,0.88,2.08E-08,0.06,1653.375503,0.106375,0.3705125
45,0.040006,0.28,0.84,8.02E-08,0.06,1663.258845,0.1218625,0.3705125
46,1.00E-05,0.64,0.84,1.00E-09,0.06,1675.921167,0.306,0.3705125
47,0.040006,0.28,0.84,8.02E-08,0.04,1651.411763,0.1067,0.3705125
48,0.020008,0.1,0.8,1.00E-09,0.04,1653.467409,0.1084625,0.3705125
49,1.00E-05,0.46,0.92,8.02E-08,0.08,1679.431433,0.2851,0.3705125
50,0.060004,0.64,0.84,2.08E-08,0,1653.435128,0.11325,0.3705125
51,0.080002,0.46,0.8,8.02E-08,0,1650.580774,0.1079375,0.3705125
52,0.020008,0.46,0.84,6.04E-08,0.08,1669.27879,0.198425,0.3705125
53,0.040006,0.1,0.84,8.02E-08,0.08,1665.969779,0.1340875,0.3705125
54,0.060004,0.46,0.92,2.08E-08,0,1648.634071,0.1026625,0.3705125
55,1.00E-05,0.46,0.92,8.02E-08,0.06,1682.06093,0.3048375,0.3705125
56,0.040006,0.1,0.96,1.00E-09,0.02,1667.152266,0.1022375,0.3705125
57,0.060004,0.1,0.88,4.06E-08,0.06,1666.646124,0.1014625,0.3705125
58,0.080002,0.46,0.92,4.06E-08,0.02,1670.152916,0.1029625,0.3705125
59,0.020008,0.46,0.96,6.04E-08,0.06,1666.807956,0.1222375,0.3705125
60,0.080002,0.1,0.96,4.06E-08,0,1651.630497,0.1031625,0.3705125
61,0.040006,0.28,0.96,6.04E-08,0.02,1669.374175,0.104825,0.3705125
62,0.020008,0.64,0.92,6.04E-08,0,1654.215246,0.174125,0.3705125
63,0.060004,0.28,0.84,4.06E-08,0.04,1660.695982,0.1015625,0.3705125
bayesian_uniform,,,,,,,,
0,0.049758682,0.339556351,0.927482232,2.50E-08,0.047316858,1727.758997,0.10405,0.10405
1,0.085458278,0.782950874,0.887645894,8.19E-08,0.094667973,1760.831039,0.1326,0.1326
2,0.001895161,0.98595635,0.980885887,9.05E-08,0.003350456,1775.220675,0.35785,0.35785
3,0.049591168,0.996820377,0.998101039,5.67E-08,0.01609654,1774.861703,0.1507125,0.35785
4,0.00034601,0.863045476,0.891405266,4.47E-08,0.049267541,1796.29985,0.305625,0.35785
5,0.00165063,0.877249427,0.993035409,2.19E-08,0.013065638,1787.92985,0.2794,0.35785
6,0.098111879,0.206703752,0.802351214,6.29E-08,0.097690994,1774.900373,0.1019625,0.35785
7,0.004530842,0.991957466,0.853978292,9.51E-08,0.026606605,1782.561348,0.322725,0.35785
8,0.003144911,0.975591601,0.931396194,4.28E-08,0.094662591,1792.545782,0.2187375,0.35785
9,0.001770682,0.620187897,0.803088496,1.40E-08,0.099217517,1788.625867,0.2154625,0.35785
10,0.004024959,0.989302222,0.930135105,9.87E-08,0.004390679,1796.740876,0.3552625,0.35785
11,0.003858677,0.790328458,0.805316495,9.10E-08,0.001453997,1788.5631,0.3005625,0.35785
12,0.096191592,0.101411441,0.99300929,9.64E-08,0.054711384,1781.28423,0.104725,0.35785
