nr,lr,b1,b2,energy,,,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
5,0.001173125,0.993325879,0.905719211,1656.803897,,,0.3934625,0.3934625
6,0.001849951,0.104060954,0.973593603,1657.759496,,,0.3140625,0.3934625
7,0.000445874,0.926453696,0.814462999,1660.418383,,,0.3889625,0.3934625
8,0.002847556,0.985860861,0.997708782,1658.267497,,,0.375425,0.3934625
9,0.000700098,0.840140923,0.977877132,1663.67683,,,0.394225,0.394225
10,0.000613727,0.667702994,0.997256401,1666.708121,,,0.372275,0.394225
11,6.36E-05,0.994864394,0.840541733,1670.350911,,,0.4059375,0.4059375
12,0.085328835,0.109549354,0.801738784,1654.121595,,,0.1021375,0.4059375
13,0.001303103,0.99553469,0.805178527,1672.394152,,,0.39105,0.4059375
14,0.012978022,0.783174799,0.999593543,1664.798024,,,0.14995,0.4059375
15,0.002408666,0.24868046,0.987874978,1666.213673,,,0.3024875,0.4059375
16,0.057240075,0.126788406,0.905108122,1661.333261,,,0.101775,0.4059375
17,0.002127293,0.437267523,0.831709303,1672.292625,,,0.2889375,0.4059375
18,0.037602422,0.653173929,0.805941959,1667.823083,,,0.1340875,0.4059375
19,0.000124218,0.937213578,0.898012651,1678.921137,,,0.4008875,0.4059375
20,0.000214262,0.793298586,0.996902924,1644.642487,,,0.3986875,0.4059375
21,0.002977207,0.673271102,0.903097035,1650.878476,,,0.3328125,0.4059375
22,0.000391618,0.899455634,0.999923083,1649.743394,,,0.3902875,0.4059375
23,0.051830017,0.262797123,0.803773346,1640.449234,,,0.1097375,0.4059375
24,0.084669244,0.29629486,0.901741485,1643.150434,,,0.10775,0.4059375
25,0.000912394,0.233346052,0.879882068,1655.101071,,,0.3640375,0.4059375
26,0.00078334,0.985436022,0.999718575,1651.916097,,,0.3902125,0.4059375
27,0.000579833,0.137638061,0.923771178,1654.244228,,,0.350125,0.4059375
28,0.001069168,0.361241541,0.937269158,1646.955219,,,0.37345,0.4059375
29,0.066161079,0.148723467,0.951493614,1642.094641,,,0.1015125,0.4059375
