nr,lr,b1,b2,epsilon,weight_decay,energy,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
55,0.080002,0.82,0.96,2.08E-08,0,205.6935312,0.196075,0.8054875
56,0.040006,0.46,0.8,2.08E-08,0.02,211.9676686,0.4455,0.8054875
57,1.00E-05,0.64,0.8,2.08E-08,0.02,214.4304953,0.766425,0.8054875
58,0.020008,0.82,0.96,2.08E-08,0,209.1250782,0.499125,0.8054875
59,0.060004,0.28,0.96,6.04E-08,0,204.591856,0.2279375,0.8054875
60,0.060004,0.64,0.92,4.06E-08,0.02,210.8040869,0.228325,0.8054875
61,0.060004,0.28,0.84,8.02E-08,0,205.6053943,0.2318375,0.8054875
62,1.00E-05,0.82,0.8,4.06E-08,0.04,214.6655216,0.7198125,0.8054875
63,0.080002,0.46,0.8,4.06E-08,0,205.7133978,0.1940125,0.8054875
bayesian_uniform,,,,,,,,
0,0.049758682,0.339556351,0.927482232,2.50E-08,0.047316858,209.2389653,0.2437125,0.2437125
1,0.040962659,0.999323133,0.801825997,2.50E-08,0.087462954,209.8609767,0.7119375,0.7119375
2,0.008433699,0.997884411,0.997069476,9.63E-08,0.099372438,209.9521804,0.644975,0.7119375
3,0.087445655,0.997894965,0.804425131,3.62E-08,0.000251519,207.2849223,0.1974625,0.7119375
4,0.003421045,0.979879411,0.83156484,1.77E-08,0.09856687,208.3807061,0.641125,0.7119375
5,0.09464982,0.996428543,0.80380115,3.85E-09,0.089945739,208.1029531,0.689975,0.7119375
6,0.078603715,0.101763811,0.994720906,5.36E-08,0.013126062,204.8948602,0.2374,0.7119375
7,0.007097867,0.12413741,0.807129245,6.63E-08,0.096588518,208.0775487,0.52985,0.7119375
8,0.000401028,0.211119543,0.99705715,3.53E-08,0.093323015,209.5516229,0.6452875,0.7119375
9,0.085658732,0.197357535,0.997297098,1.14E-08,0.097959389,204.8141025,0.232625,0.7119375
10,0.098830414,0.989374582,0.999500936,7.95E-08,0.098494005,207.3359253,0.661375,0.7119375
11,0.002854632,0.110372239,0.804316981,1.25E-08,0.022180963,207.7335506,0.77265,0.77265
12,0.000503398,0.121825754,0.824649836,7.73E-08,0.010658374,207.9224866,0.8207125,0.8207125
13,0.008430044,0.192918516,0.803244292,3.80E-08,0.004011051,207.5027909,0.521275,0.8207125
14,0.004280338,0.11440307,0.896897309,4.68E-08,0.016802069,206.8899105,0.75515,0.8207125
15,0.006402952,0.103965178,0.865084179,2.66E-08,0.005070734,207.2086392,0.728425,0.8207125
16,0.013631871,0.260835678,0.98786273,9.34E-08,0.007990019,206.7373366,0.659,0.8207125
17,0.017491228,0.998491915,0.861103427,6.42E-08,0.09750517,207.5395412,0.6372625,0.8207125
18,0.000249884,0.13086768,0.972156204,6.86E-09,0.005285523,207.3298364,0.833125,0.833125
19,0.081516955,0.850051612,0.950168228,9.04E-08,0.043588774,208.1368179,0.6658125,0.833125
20,0.069445816,0.789247997,0.994574126,2.82E-08,0.040776775,205.9563834,0.270125,0.833125
21,0.07521414,0.92582363,0.832398618,1.32E-09,0.078389504,207.1044657,0.6871375,0.833125
22,0.083352737,0.908931732,0.916564571,2.68E-08,0.033767424,206.9037413,0.7473125,0.833125
23,0.093643302,0.644580958,0.894605376,7.54E-08,0.001955449,203.5866646,0.1982875,0.833125
24,0.094823613,0.93721325,0.88954187,7.53E-08,0.047971526,208.4275236,0.7376625,0.833125
25,0.08781997,0.923443546,0.956806545,6.54E-08,0.014253738,207.3620356,0.7179625,0.833125
26,0.008354001,0.176021728,0.936987746,4.35E-08,0.015103681,208.1575218,0.5868625,0.833125
27,0.013261806,0.902533595,0.951853705,6.07E-08,0.028659815,208.5040815,0.8042,0.833125
28,0.000917153,0.590135422,0.962401606,1.31E-08,0.005932268,207.9546425,0.833475,0.833475
29,0.008466773,0.483292398,0.901946611,1.80E-08,0.081888826,208.6339465,0.617225,0.833475
30,0.002638502,0.302987842,0.825864385,9.66E-09,0.015523452,208.9489535,0.7852625,0.833475
31,0.083509911,0.949331566,0.931656577,1.89E-08,0.099792184,208.4334035,0.6337,0.833475
