nr,lr,b1,b2,energy,,,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
27,0.000455508,0.29470045,0.895835311,244.3266028,,,0.8391625,0.846675
28,0.005055214,0.877261976,0.999211768,242.4128175,,,0.82575,0.846675
29,0.00037473,0.207231614,0.862750301,245.8243006,,,0.8400875,0.846675
30,0.001342131,0.905454374,0.997490958,244.0853856,,,0.8407875,0.846675
31,0.000253143,0.137396597,0.876207481,245.0137266,,,0.8414375,0.846675
32,0.000385567,0.16604894,0.882134517,243.6420443,,,0.8403,0.846675
33,0.000194215,0.400628113,0.885880225,147.2944297,,,0.8443375,0.846675
34,0.000330608,0.144846968,0.805313644,246.2120691,,,0.8405875,0.846675
35,0.001087922,0.31034329,0.811323219,245.2241017,,,0.8321125,0.846675
36,0.000278326,0.298157979,0.820516348,244.6010202,,,0.841475,0.846675
37,1.51E-05,0.127906907,0.891619816,150.0435463,,,0.821925,0.846675
38,0.000462184,0.394509919,0.875922309,167.0214312,,,0.840075,0.846675
39,0.001231204,0.886889685,0.996293107,149.5699741,,,0.84265,0.846675
40,6.88E-05,0.295407572,0.843886652,149.7452812,,,0.8429125,0.846675
41,6.59E-05,0.328156814,0.879202384,151.3466124,,,0.842925,0.846675
42,0.000112199,0.20434232,0.813398122,148.6896951,,,0.8432,0.846675
43,0.000224536,0.29108712,0.810341212,150.2899157,,,0.8425375,0.846675
44,0.000155072,0.284698042,0.813661186,188.2628536,,,0.8433375,0.846675
45,0.000129244,0.82882796,0.997131971,150.5556695,,,0.8469625,0.8469625
46,0.049152021,0.241267081,0.958358137,242.5703073,,,0.2276625,0.8469625
47,0.000361659,0.845825295,0.998844543,151.3486499,,,0.84545,0.8469625
48,0.000118118,0.295085018,0.81117116,154.111873,,,0.844,0.8469625
49,6.97E-05,0.177721733,0.809643751,187.4186732,,,0.8418875,0.8469625
50,8.26E-05,0.355779416,0.854432742,248.3156302,,,0.8438375,0.8469625
51,5.06E-05,0.215202337,0.80942032,249.1723709,,,0.84065,0.8469625
